Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
larceny,123.0,102.0,89.0,87.0,76.0,98.0,75.0,81.0,46.0,56.0,50.0,123.0
assault,0.0,5.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0
murder,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
arson,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robbery,1.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
mv-theft,4.0,2.0,1.0,2.0,0.0,1.0,1.0,6.0,2.0,2.0,6.0,6.0
burglary,17.0,16.0,19.0,15.0,20.0,17.0,17.0,26.0,13.0,17.0,15.0,14.0
property,144.0,120.0,109.0,104.0,96.0,116.0,93.0,113.0,61.0,75.0,71.0,143.0
violent-crimes,1,11.0,3.0,3.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,4.0
rape,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
