City,Agency,State,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006_hist,2007_hist,2008_hist,2009_hist,2010_hist,2011_hist,2012_hist,2013_hist,2014_hist,Unnamed: 32,2006_new,2007_new,2008_new,2009_new,2010_new,2011_new,2012_new,2013_new,2014_new,2015,2016,2006_diff,2006_diff_pct,2006,2007_diff,2007_diff_pct,2007,2008_diff,2008_diff_pct,2008,2009_diff,2009_diff_pct,2009,2010_diff,2010_diff_pct,2010,2011_diff,2011_diff_pct,2011,2012_diff,2012_diff_pct,2012,2013_diff,2013_diff_pct,2013,2014_diff,2014_diff_pct,2014
Ansonia,Ansonia Police Dept,CT,119.0,54.0,52.0,78.0,70.0,74.0,55.0,42.0,63.0,73.0,64.0,80.0,120.0,152.0,59.0,58.0,83.0,42.0,25.0,27.0,17.0,28.0,38.0,26.0,36.0,28.0,30.0,29.0,33.0,38.0,,22.0,38.0,26.0,36.0,27.0,30.0,29.0,33.0,36.0,25.0,24.0,-6.0,-0.214285714286,,0.0,0.0,38.0,0.0,0.0,26.0,0.0,0.0,36.0,-1.0,-0.0357142857143,,0.0,0.0,30.0,0.0,0.0,29.0,0.0,0.0,33.0,-2.0,-0.0526315789474,
Avon,Avon Police Dept,CT,6.0,8.0,11.0,8.0,10.0,7.0,8.0,5.0,6.0,4.0,1.0,5.0,5.0,5.0,6.0,7.0,1.0,3.0,9.0,4.0,5.0,5.0,3.0,4.0,8.0,6.0,0.0,5.0,12.0,2.0,,5.0,3.0,4.0,8.0,5.0,0.0,5.0,12.0,2.0,2.0,1.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,8.0,-1.0,-0.166666666667,,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,12.0,0.0,0.0,2.0
Berlin,Berlin Police Dept,CT,2.0,3.0,7.0,6.0,4.0,9.0,8.0,11.0,11.0,15.0,4.0,6.0,1.0,8.0,5.0,4.0,10.0,20.0,13.0,12.0,18.0,19.0,15.0,21.0,13.0,17.0,15.0,21.0,15.0,11.0,,19.0,13.0,21.0,12.0,15.0,15.0,21.0,14.0,11.0,15.0,20.0,0.0,0.0,19.0,-2.0,-0.133333333333,,0.0,0.0,21.0,-1.0,-0.0769230769231,,-2.0,-0.117647058824,,0.0,0.0,15.0,0.0,0.0,21.0,-1.0,-0.0666666666667,,0.0,0.0,11.0
Bethel,Bethel Police Dept,CT,8.0,12.0,13.0,8.0,6.0,10.0,15.0,11.0,17.0,27.0,23.0,25.0,17.0,15.0,4.0,4.0,3.0,7.0,7.0,7.0,2.0,8.0,7.0,4.0,1.0,5.0,1.0,6.0,3.0,0.0,,7.0,6.0,4.0,1.0,5.0,1.0,6.0,3.0,0.0,4.0,1.0,-1.0,-0.125,,-1.0,-0.142857142857,,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,,0.0
Bloomfield,Bloomfield Police Dept,CT,48.0,58.0,55.0,93.0,66.0,78.0,66.0,40.0,87.0,95.0,84.0,93.0,74.0,63.0,49.0,59.0,148.0,125.0,91.0,52.0,59.0,57.0,57.0,33.0,50.0,42.0,43.0,31.0,47.0,40.0,,,54.0,32.0,47.0,32.0,43.0,31.0,46.0,39.0,57.0,52.0,,,,-3.0,-0.0526315789474,,-1.0,-0.030303030303,,-3.0,-0.06,,-10.0,-0.238095238095,,0.0,0.0,43.0,0.0,0.0,31.0,-1.0,-0.0212765957447,,-1.0,-0.025,
Branford,Branford Police Dept,CT,15.0,13.0,18.0,12.0,19.0,17.0,24.0,28.0,20.0,27.0,15.0,15.0,38.0,37.0,36.0,47.0,57.0,33.0,44.0,44.0,36.0,42.0,31.0,45.0,24.0,37.0,26.0,21.0,17.0,25.0,,,31.0,45.0,24.0,37.0,26.0,21.0,16.0,25.0,17.0,10.0,,,,0.0,0.0,31.0,0.0,0.0,45.0,0.0,0.0,24.0,0.0,0.0,37.0,0.0,0.0,26.0,0.0,0.0,21.0,-1.0,-0.0588235294118,,0.0,0.0,25.0
Bridgeport,Bridgeport Police Dept,CT,2194.0,1987.0,1810.0,2100.0,2682.0,2888.0,2860.0,2890.0,2540.0,1870.0,1585.0,2107.0,2410.0,1994.0,1820.0,1984.0,1910.0,1695.0,1366.0,1419.0,1508.0,1509.0,1603.0,1638.0,1527.0,1412.0,1447.0,1760.0,1397.0,1338.0,,1509.0,1603.0,1638.0,1527.0,1412.0,1447.0,1760.0,1397.0,1338.0,996.0,1115.0,0.0,0.0,1509.0,0.0,0.0,1603.0,0.0,0.0,1638.0,0.0,0.0,1527.0,0.0,0.0,1412.0,0.0,0.0,1447.0,0.0,0.0,1760.0,0.0,0.0,1397.0,0.0,0.0,1338.0
Bristol,Bristol Police Dept,CT,136.0,194.0,146.0,198.0,204.0,175.0,298.0,281.0,346.0,409.0,355.0,234.0,219.0,247.0,238.0,237.0,238.0,254.0,142.0,146.0,133.0,173.0,187.0,236.0,192.0,200.0,118.0,93.0,82.0,73.0,,173.0,187.0,236.0,182.0,200.0,118.0,93.0,82.0,72.0,78.0,55.0,0.0,0.0,173.0,0.0,0.0,187.0,0.0,0.0,236.0,-10.0,-0.0520833333333,,0.0,0.0,200.0,0.0,0.0,118.0,0.0,0.0,93.0,0.0,0.0,82.0,-1.0,-0.013698630137,
Brookfield,Brookfield Police Dept,CT,14.0,16.0,13.0,19.0,19.0,7.0,11.0,4.0,8.0,10.0,7.0,6.0,15.0,10.0,10.0,5.0,10.0,14.0,26.0,18.0,2.0,10.0,3.0,6.0,5.0,5.0,10.0,2.0,9.0,3.0,,,3.0,6.0,5.0,5.0,10.0,2.0,9.0,3.0,6.0,10.0,,,,0.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,9.0,0.0,0.0,3.0
Canton,Canton Town Police Dept,CT,6.0,4.0,0.0,3.0,2.0,7.0,1.0,2.0,1.0,13.0,12.0,12.0,7.0,8.0,8.0,6.0,8.0,4.0,4.0,2.0,5.0,4.0,3.0,3.0,1.0,5.0,2.0,1.0,3.0,2.0,,4.0,3.0,3.0,1.0,5.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,1.0,-1.0,-0.333333333333,,0.0,0.0,2.0
